,4G_RRC_SETUP_FAILURES_OVERALL,4G_4G2G_CSFB_ATT,4G_4G2G_CSFB_SHARE,4G_4G2G_OUT_HO_ATT_SRVCC,4G_4G2G_OUT_HO_FAILURES_SRVCC,4G_4G2G_OUT_HO_SUCC_RATE_SRVCC,4G_4G2G_OUT_HO_SUCC_SRVCC,4G_4G2G_SRVCC_SHARE,4G_4G3G_CSFB_ATT,4G_4G3G_CSFB_SHARE,4G_4G3G_OUT_HO_ATT_SRVCC,4G_4G3G_OUT_HO_FAILURES_SRVCC,4G_4G3G_OUT_HO_SUCC_RATE_SRVCC,4G_4G3G_OUT_HO_SUCC_SRVCC,4G_4G3G_SRVCC_SHARE,4G_4G4G_OUT_HO_ATT_OVERALL,4G_4G4G_OUT_HO_ATT_VOICE,4G_4G4G_OUT_HO_FAILURES_OVERALL,4G_4G4G_OUT_HO_FAILURES_VOICE,4G_4G4G_OUT_HO_SUCC_OVERALL,4G_4G4G_OUT_HO_SUCC_RATE_OVERALL,4G_4G4G_OUT_HO_SUCC_RATE_VOICE,LTE_Avg_Cell_Throughput_DL_Mbps_LTE_1,LTE_Avg_Cell_Throughput_UL_Mbps_LTE_1,LTE_ERAB_Accessibility_Ratio_LTE_1,LTE_ERAB_Drop_per_GByte_LTE_1,LTE_ERAB_Drop_Ratio_LTE_1,LTE_Nbr_of_Cells_LTE_1,LTE_Traffic_Volume_DL_GBytes_LTE_1,LTE_Traffic_Volume_UL_GBytes_LTE_1,4G_Cell_Availability,4G_TRAFFIC_VOLUME_DL_OVERALL,4G_TRAFFIC_VOLUME_OVERALL,4G_TRAFFIC_VOLUME_UL_OVERALL,4G_HO_SRVCC_SUCCESSES,4G_BPCR_OVERALL_RRC_SUCC_MV_LN,4G_BPCR_OVERALL_RRC_ATT_MV_LN,4G_BPCR_OVERALL_eRAB_SUCC_MV_LN,4G_BPCR_OVERALL_eRAB_ATT_MV_LN,4G_Active_Users_Avg_BH_GL,4G_DL_PRB_Utilisation_GL,4G_AVERAGE_ACTIVE_USERS,4G_OUT_HO_ATT_SRVCC_OVERALL,4G_OUT_HO_SRVCC_FAILURES_OVERALL,4G_OUT_HO_SUCC_RATE_SRVCC_OVERALL,4G_OUT_HO_SUCC_SRVCC_OVERALL,4G_BPCR_DATA,4G_BPCR_VOICE,4G_DPCR_DATA,4G_DPCR_VOICE,4G_TRAFFIC_VOLUME_DL_DATA_NOK,4G_TRAFFIC_VOLUME_UL_DATA_NOK,4G_TRAFFIC_VOLUME_VOICE_NOK,4G_DL_MAX_THROUGHPUT_NOK,4G_UL_MAX_THROUGHPUT_NOK,4G_HO_ATTEMPTS,4G_HO_ATTEMPTS_NOK,4G_HO_FAILURES,4G_HO_SRVCC_ATTEMPTS,4G_HO_SRVCC_ATTEMPTS_NOK,4G_RRC_SETUP_ATTEMPTS_OVERALL,4G_RRC_SETUP_SUCCESSES_OVERALL,4G_ERAB_DROPS_DATA,4G_ERAB_DROPS_VOICE,4G_ERAB_SEIZURES_DATA,4G_ERAB_SEIZURES_VOICE,4G_ERAB_SETUP_ATTEMPTS_DATA,4G_ERAB_SETUP_ATTEMPTS_VOICE,4G_ERAB_SETUP_SUCCESSES_DATA,4G_ERAB_SETUP_SUCCESSES_VOICE,4G_BPCR_OVERALL_NOK,4G_BROADBAND_ACTIVE_USERS_Hour_new,4G_CELL_AVAILABLE_SECONDS,4G_CELL_PLANNED_AVAILABLE_SECONDS,4G_CELL_UNAVAILABLE_SECONDS,4G_DPCR_OVERALL,4G_ERAB_DROPS_OVERALL,4G_ERAB_SEIZURES_OVERALL,4G_ERAB_SETUP_ATTEMPTS_OVERALL,4G_ERAB_SETUP_FAILURES_DATA,4G_ERAB_SETUP_FAILURES_OVERALL,4G_ERAB_SETUP_FAILURES_VOICE,4G_ERAB_SETUP_SUCCESS_RATE_DATA,4G_ERAB_SETUP_SUCCESS_RATE_OVERALL,4G_ERAB_SETUP_SUCCESS_RATE_VOICE,4G_ERAB_SETUP_SUCCESSES_OVERALL,4G_IMS_SIG_ATTEMPTS,4G_IMS_SIG_FAILURES,4G_IMS_SIG_SUCCESS_RATE,4G_IMS_SIG_SUCCESSES,4G_MIMO_SPATIAL_MUX_SHARE,4G_RRC_SETUP_SUCCESS_RATE_OVERALL,4G_S1_SETUP_ATTEMPTS_OVERALL,4G_S1_SETUP_FAILURES_OVERALL,4G_S1_SETUP_SUCC_RATE_OVERALL,4G_S1_SETUP_SUCCESSES_OVERALL,NE_STATE,eCell.OMC_Name,OMC_NAME
101310161T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Active,0,0
101310161U1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Active,0,0
101320001H1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,13,0,0,236,100.00%,100.00%,2.464 Mbps,0.127 Mbps,0,0.00 Drop/Gbyte,0.00%,1,1.0658 GBytes,0.0513 GBytes,100.00%,1,1.04,0,0,1585,1587,2249,2249,0,5.50%,12,0,0,0,0,0.13%,0.13%,0.00%,0.00%,0.99,0.05,0.08 E,92.3,10.7,236,236,0,0,0,1587,1585,0,0,2557,6,1517,10,1517,10,0.13%,0,3600,3600,0,0.00%,0,2563,2249,0,0,0,100.00%,100.00%,100.00%,2249,722,0,100.00%,722,39.50%,99.87%,1585,0,100.00%,1585,Active,0,nokiaLTENordOst1
101320001H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,9,3,0,333,99.11%,100.00%,2.185 Mbps,0.356 Mbps,0,0.00 Drop/Gbyte,0.00%,1,0.8389 GBytes,0.1279 GBytes,100.00%,1,0.91,0,0,662,662,1066,1066,0,6.80%,5,0,0,0,0,0.00%,0.00%,0.25%,0.00%,0.78,0.13,0.08 E,166,42.3,336,336,3,0,0,662,662,4,0,1582,1,627,3,627,3,0.00%,0,3600,3600,0,0.25%,4,1583,1066,0,0,0,100.00%,100.00%,100.00%,1066,436,0,100.00%,436,45.72%,100.00%,662,0,100.00%,662,Active,0,nokiaLTENordOst1
101320001H3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,7,100.00%,100.00%,0.175 Mbps,0.021 Mbps,0,0.00 Drop/Gbyte,0,1,0.0194 GBytes,0.0032 GBytes,100.00%,0,0.02,0,0,155,155,267,267,0,0.70%,4,0,0,0,0,0.00%,0.00%,0.00%,0,0.02,0,0.02 E,5,0.4,7,7,0,0,0,155,155,0,0,274,0,148,1,148,1,0.00%,0,3600,3600,0,0.00%,0,274,267,0,0,0,100.00%,100.00%,100.00%,267,118,0,100.00%,118,24.89%,100.00%,155,0,100.00%,155,Active,0,nokiaLTENordOst1
101320001L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,5,1,0,88,98.88%,100.00%,1.931 Mbps,0.084 Mbps,0,0.00 Drop/Gbyte,0.00%,1,0.6908 GBytes,0.0295 GBytes,100.00%,1,0.67,0,0,387,387,653,653,0,7.70%,4,0,0,0,0,0.00%,0.00%,0.48%,0.00%,0.64,0.03,0.17 E,30.9,11.6,89,89,1,0,0,387,387,4,0,839,4,351,2,351,2,0.00%,0,3600,3600,0,0.47%,4,843,653,0,0,0,100.00%,100.00%,100.00%,653,300,0,100.00%,300,58.52%,100.00%,387,0,100.00%,387,Active,0,nokiaLTENordOst1
101320001L2,3,0,0.00%,0,0,0,0,0.00%,2,100.00%,1,0,100.00%,1,100.00%,65,1,0,0,65,100.00%,100.00%,1.744 Mbps,0.109 Mbps,0,0.00 Drop/Gbyte,0.00%,1,0.5569 GBytes,0.0302 GBytes,100.00%,1,0.55,0,1,239,242,403,403,0,10.30%,4,1,0,100.00%,1,1.24%,0,0.00%,0.00%,0.52,0.03,0.03 E,42.1,1.4,65,65,0,1,1,242,239,0,0,616,1,218,0,218,0,1.24%,0,3600,3600,0,0.00%,0,617,403,0,0,0,100.00%,100.00%,0,403,185,0,100.00%,185,29.83%,98.76%,239,0,100.00%,239,Active,0,nokiaLTENordOst1
101320001L3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,9,100.00%,100.00%,0.005 Mbps,0.005 Mbps,0,0.00 Drop/Gbyte,0,1,0.0002 GBytes,0.0002 GBytes,100.00%,0,0,0,0,200,200,226,226,0,1.30%,0,0,0,0,0,0.00%,0,0.00%,0,0,0,0.02 E,0,0.1,9,9,0,0,0,200,200,0,0,244,0,199,0,199,0,0.00%,0,3600,3600,0,0.00%,0,244,226,0,0,0,100.00%,100.00%,0,226,27,0,100.00%,27,2.61%,100.00%,200,0,100.00%,200,Active,0,nokiaLTENordOst1
101320001M1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,1,2,0,111,98.23%,100.00%,1.957 Mbps,0.195 Mbps,0,0.00 Drop/Gbyte,0.00%,1,0.6332 GBytes,0.0623 GBytes,100.00%,1,0.65,0,0,348,348,485,485,0,5.40%,4,0,0,0,0,0.00%,0,0.00%,0.00%,0.59,0.06,0.01 E,128.1,24.6,114,114,3,0,0,348,348,0,0,754,1,314,0,314,0,0.00%,0,3600,3600,0,0.00%,0,755,485,0,0,0,100.00%,100.00%,0,485,171,0,100.00%,171,40.49%,100.00%,348,0,100.00%,348,Active,0,nokiaLTENordOst1
101320001M2,0,0,0,0,0,0,0,0.00%,0,0,1,0,100.00%,1,100.00%,156,10,0,0,156,100.00%,100.00%,1.194 Mbps,0.065 Mbps,0,0.00 Drop/Gbyte,0.00%,1,0.5051 GBytes,0.0241 GBytes,100.00%,0,0.49,0,1,233,233,331,333,0,6.90%,3,1,0,100.00%,1,0.92%,0.00%,0.00%,0.00%,0.47,0.02,0.53 E,43.9,1.5,156,156,0,1,1,233,233,0,0,617,3,218,1,216,1,0.60%,0,3600,3600,0,0.00%,0,620,333,2,2,0,99.08%,99.40%,100.00%,331,114,0,100.00%,114,43.14%,100.00%,233,0,100.00%,233,Active,0,nokiaLTENordOst1
