4G_RRC_SETUP_FAILURES_OVERALL;4G_4G2G_OUT_HO_FAILURES_SRVCC;4G_4G2G_OUT_HO_SUCC_RATE_SRVCC;4G_4G2G_OUT_HO_SUCC_SRVCC;4G_4G3G_OUT_HO_FAILURES_SRVCC;4G_4G3G_OUT_HO_SUCC_RATE_SRVCC;4G_4G3G_OUT_HO_SUCC_SRVCC;4G_4G4G_OUT_HO_FAILURES_OVERALL;4G_4G4G_OUT_HO_FAILURES_VOICE;4G_4G4G_OUT_HO_SUCC_OVERALL;4G_4G4G_OUT_HO_SUCC_RATE_OVERALL;4G_4G4G_OUT_HO_SUCC_RATE_VOICE;LTE_Avg_Cell_Throughput_DL_Mbps_LTE_1;LTE_Traffic_Volume_DL_GBytes_LTE_1;LTE_Traffic_Volume_UL_GBytes_LTE_1;4G_TRAFFIC_VOLUME_DL_OVERALL;4G_TRAFFIC_VOLUME_OVERALL;4G_TRAFFIC_VOLUME_UL_OVERALL;4G_HO_SRVCC_SUCCESSES;4G_BPCR_OVERALL_RRC_SUCC_MV_LN;4G_BPCR_OVERALL_eRAB_SUCC_MV_LN;4G_BPCR_OVERALL_eRAB_ATT_MV_LN;4G_OUT_HO_SRVCC_FAILURES_OVERALL;4G_OUT_HO_SUCC_RATE_SRVCC_OVERALL;4G_BPCR_DATA;4G_TRAFFIC_VOLUME_DL_DATA_NOK;4G_TRAFFIC_VOLUME_UL_DATA_NOK;4G_TRAFFIC_VOLUME_VOICE_NOK;4G_DL_MAX_THROUGHPUT_NOK;4G_HO_ATTEMPTS;4G_HO_ATTEMPTS_NOK;4G_HO_FAILURES;4G_HO_SRVCC_ATTEMPTS;4G_HO_SRVCC_ATTEMPTS_NOK;4G_RRC_SETUP_ATTEMPTS_OVERALL;4G_RRC_SETUP_SUCCESSES_OVERALL;4G_ERAB_SETUP_ATTEMPTS_DATA;4G_ERAB_SETUP_ATTEMPTS_VOICE;4G_ERAB_SETUP_SUCCESSES_DATA;4G_ERAB_SETUP_SUCCESSES_VOICE;4G_BPCR_OVERALL_NOK;4G_ERAB_SETUP_ATTEMPTS_OVERALL;4G_ERAB_SETUP_FAILURES_DATA;4G_ERAB_SETUP_FAILURES_OVERALL;4G_ERAB_SETUP_FAILURES_VOICE;4G_ERAB_SETUP_SUCCESS_RATE_DATA;4G_ERAB_SETUP_SUCCESS_RATE_OVERALL;4G_ERAB_SETUP_SUCCESS_RATE_VOICE;4G_ERAB_SETUP_SUCCESSES_OVERALL;4G_IMS_SIG_ATTEMPTS;4G_IMS_SIG_FAILURES;4G_IMS_SIG_SUCCESS_RATE;4G_IMS_SIG_SUCCESSES;4G_MIMO_SPATIAL_MUX_SHARE;4G_RRC_SETUP_SUCCESS_RATE_OVERALL;4G_S1_SETUP_ATTEMPTS_OVERALL;4G_S1_SETUP_FAILURES_OVERALL;4G_S1_SETUP_SUCC_RATE_OVERALL;4G_S1_SETUP_SUCCESSES_OVERALL;OUTPUT
8;0;0;0;0;100.000;1;3;1;152;98.060;97.620;4.375;19.685;1515;2;198;0;1;2255;3583;3610;0;100.000;1.660;183;15;78;491;155;155;3;1;1;2263;2255;1906;9;1881;9;1.100;3610;25;27;0;98.690;99.250;100.000;3583;1695;2;99.880;1693;39.340;99.650;2255;0;100.000;2255;1
30;0;0;0;0;0;0;5;0;137;96.480;100.000;3.838;17.275;1948;2;18;0;0;4829;7281;7298;0;0;970;161;19;170;544;142;142;5;0;0;4859;4829;4216;8;4201;8;850;7298;15;17;0;99.640;99.770;100.000;7281;3074;2;99.930;3072;25.980;99.380;4829;0;100.000;4829;1
53;0;100.000;2;0;0;0;3;0;409;99.270;100.000;17.122;77.060;4317;7;761;0;2;16554;23294;23311;0;100.000;410;718;43;699;459;412;412;3;2;2;16607;16554;12736;46;12725;46;390;23311;11;17;0;99.910;99.930;100.000;23294;10529;6;99.940;10523;50.000;99.680;16554;0;100.000;16554;1
9;0;0;0;0;100.000;1;2;0;130;98.480;100.000;9.046;40.701;1355;4;393;0;1;4061;6385;6398;0;100.000;420;379;14;39;795;132;132;2;1;1;4070;4061;3522;9;3515;9;420;6398;7;13;0;99.800;99.800;100.000;6385;2867;6;99.790;2861;37.340;99.780;4061;0;100.000;4061;1
6;0;0;0;0;0;0;3;0;586;99.490;100.000;11.626;52.310;3254;5;52;0;0;7053;10818;10827;0;0;170;487;33;324;841;589;589;3;0;0;7059;7053;5834;28;5829;28;170;10827;5;9;0;99.910;99.920;100.000;10818;4965;4;99.920;4961;39.490;99.920;7053;0;100.000;7053;1
2;0;0;0;0;0;0;0;0;37;100.000;100.000;6.358;22.498;302;2;213;0;0;1699;2341;2350;0;0;390;21;3;1;433;37;37;0;0;0;1701;1699;1469;1;1465;1;500;2350;4;9;0;99.730;99.620;100.000;2341;880;5;99.430;875;65.150;99.880;1699;0;100.000;1699;1
1;0;0;0;0;0;0;0;0;169;100.000;100.000;29.010;130.522;6317;12;1279;1;0;6067;9319;9327;0;0;90;1216;63;159;1205;169;169;0;0;0;6068;6067;5154;16;5150;16;100;9327;4;8;0;99.920;99.910;100.000;9319;4157;4;99.900;4153;71.220;99.980;6067;0;100.000;6067;1
22;0;0;0;0;0;0;0;0;127;100.000;100.000;7.397;33.292;1401;3;324;0;0;6037;9228;9236;0;0;440;31;14;309;266;127;127;0;0;0;6059;6037;5209;14;5205;14;450;9236;4;8;0;99.920;99.910;100.000;9228;4013;4;99.900;4009;26.750;99.640;6037;0;100.000;6037;1
1;0;0;0;0;0;0;1;0;90;98.900;100.000;6.801;30.601;980;3;295;0;0;2141;3227;3234;0;0;390;285;1;101;539;91;91;1;0;0;2142;2141;1762;7;1756;7;260;3234;6;7;0;99.660;99.780;100.000;3227;1465;1;99.930;1464;14.060;99.950;2141;0;100.000;2141;1
25;0;100.000;3;0;0;0;5;0;106;95.500;100.000;3.016;13.576;1012;1;137;0;3;2129;2962;2969;0;100.000;1.330;126;1;303;479;111;111;5;3;3;2154;2129;1709;4;1706;4;1.390;2969;3;7;0;99.820;99.760;100.000;2962;1256;4;99.680;1252;38.920;98.840;2129;0;100.000;2129;1
